danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,song_name,artist_name,genius_id,lyric,tags,tier,genius_url,released_year
0.507,0.394,6,-7.188,0,0.035,0.508,0.0,0.0825,0.164,77.955,7AbqgE05nFl9qY4FRUiq2p,167247,4,85,Shot Glass of Tears,Jung Kook,9626003," Tell me, am I ever gonna feel again? Tell me, am I ever gonna heal again? Got a shot glass full of tears Drink, drink, drink, say ""Cheers"" I got all these diamonds running down my face And I ain't letting any of 'em go to waste Got a shot glass full of tears She the life of the party Forty-two in her body She's got some dangerous hobbies Like chasing after the sun And making me fall in love Till I'm sick to my stomach (Sick to my stomach) Until I throw back a dozen Until I'm driving a hundred With my hands off the wheel Just to see how it feels Tell me, am I ever gonna feel again? Tell me, am I ever gonna heal again? Got a shot glass full of tears Drink, drink, drink, say ""Cheers"" I got all these diamonds running down my face And I ain't letting any of 'em go to waste Got a shot glass full of tears Drink, drink, drink, say ""Cheers"" (Oh-oh, oh-oh) Drink, drink, drink, say ""Cheers"" (Oh-oh, oh-oh) It's a hard pill to swallow This emotion I bottle Need something strong for the sorrow Something strong for the pain So, I can wash it away I was cold, now, I'm freezing (Cold, now, I'm freezing) Stuck in a permanent season (Permanent season) And we both know you're the reason (Know you're the reason) I'm not the same as before I don't feel anymore Tell me, am I ever gonna feel again? Tell me, am I ever gonna heal again? Got a shot glass full of tears Drink, drink, drink, say ""Cheers"" I got all these diamonds running down my face And I ain't letting any of 'em go to waste Got a shot glass full of tears Drink, drink, drink, say ""Cheers"" (Oh-oh, oh-oh) Drink, drink, drink, say ""Cheers"" (Oh-oh, oh-oh) She the life of the party Forty-two in her body She got some dangerous hobbies Like chasing after the sun And making me fall in love ",pop,C,https://genius.com/Jung-kook-shot-glass-of-tears-lyrics,2023.0
0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,22vgEDb5hykfaTwLuskFGD,181027,4,81,Sucker,Jonas Brothers,4350998," We go together Better than birds of a feather, you and me We change the weather, yeah I'm feelin' heat in December when you're 'round me I've been dancin' on top of cars and stumblin' out of bars I follow you through the dark, can't get enough You're the medicine and the pain, the tattoo inside my brain And, baby, you know it's obvious I'm a sucker for you You say the word and I'll go anywhere blindly I'm a sucker for you, yeah Any road you take, you know that you'll find me I'm a sucker for all the subliminal things No one knows about you (About you), about you (About you) And you're makin' the typical me break my typical rules It's true, I'm a sucker for you, yeah Don't complicate it (Yeah) 'Cause I know you and you know everything about me I can't remember (Yeah) all of the nights I don't remember when you're 'round me (Oh, yeah, yeah) I've been dancin' on top of cars and stumblin' out of bars I follow you through the dark, can't get enough You're the medicine and the pain, the tattoo inside my brain And, baby, you know it's obvious I'm a sucker for you You say the word and I'll go anywhere blindly I'm a sucker for you, yeah Any road you take, you know that you'll find me I'm a sucker for all the subliminal things No one knows about you (About you), about you (About you) And you're makin' the typical me break my typical rules It's true, I'm a sucker for you, yeah (Uh) (I'm a sucker for you) I've been dancin' on top of cars and stumblin' out of bars I follow you through the dark, can't get enough You're the medicine and the pain, the tattoo inside my brain And, baby, you know it's obvious I'm a sucker for you, yeah Say the word and I'll go anywhere blindly I'm a sucker for you, yeah Any road you take, you know that you'll find me I'm a sucker for all the subliminal things No one knows about you (About you), about you (About you) And you're makin' the typical me break my typical rules It's true, I'm a sucker for you (Uh) I'm a sucker for you ",pop,D,https://genius.com/Jonas-brothers-sucker-lyrics,2019.0
0.759,0.561,0,-5.643,0,0.131,0.803,0.121,0.101,0.491,104.915,5q86iSKkBtOoNkdgEDY5WV,180673,4,82,VISTA AL MAR,Quevedo,8357473," BlueFire Rápido llega' y rápido te vas (Vas) Entras por alante, pero sales por atrás, sí (Atrás) Mami, no quiero que quede en un casi (Casi), yeah Contigo siempre quise más (Más) En la cama me das guerra y cuando terminamo' paz Pero tú siempre pendiente a ver qué opinan los demás (Ah-ah-ah) No hay nadie que me lo haga así (Así) Y aunque lo hubiera, no quisiera que fuera nadie más Parece que olvidaste lo rico que se siеnte en mi habitación Tu cuerpo con еl mío, mai, combinan de una manera Que es vernos, apagar las luce', cámara y acción (Acción) Y todo sin meter el corazón (Yeah, yeah, yeah, yeah) Ya no está pa enchule' (No, no, no, no) A ninguno le dice, to's mejor circulen Pero cuando tienes ganas todos saben a qué nene acude' Tengo hueco en mi mente pa' que te mude' Y llévame por el mal Hoy te traigo a mis islas para hacerlo vista al mar Siempre está caliente, pero el corazón frío, esquimal Dale, cáele pa'l hotel para hacerte mi ritual Que tú tienes el poder para jugar con mi mente (Eh) ¿Cómo se siente, cómo se siente Sabiendo que de todos soy el diferente? Y no fuma, pero su nota es sobresaliente Parece que olvidaste lo rico que se siente en mi habitación Tu cuerpo con el mío, mai, combinan de una manera Que es vernos, apagar las luce', cámara y acción (Acción) Y todo sin meter el corazón Si te fueras de mi cama sería como LA sin LeBron (LeBron) Lo tuyo no es genético, es un don Nadie se explica cómo la mueves tan ca— Bronceado ese cuerpito de tanto ir a la playa La combi Versace no falla Te pediría de rodillas que nunca te vayas Te darás cuenta cuando ninguno de estos bobos dé la talla, yeah Mami, otro sí, yo no te fallaré Tus gemidos en mi cabeza no se callan, yeah Cada vez que te veo escribo un himno Y siempre nos pasa lo mismo, que Rápido llega' y rápido te vas (Vas) Entras por alante, pero sales por atrás, sí (Atrás) Mami, no quiero que quede en un casi (Casi), yeah Contigo siempre quise más (Más) En la cama me das guerra y cuando terminamo' paz Pero tú siempre pendiente a ver qué opinan los demás (Ah-ah-ah) No hay nadie que me lo haga así (Así) Y aunque lo hubiera, no quisiera que fuera nadie más Parece que olvidaste lo rico que se siente en mi habitación Tu cuerpo con el mío, mai, combinan de una manera Que es vernos, apagar las luce', cámara y acción (Acción) Y todo sin meter el corazón ",pop,E,https://genius.com/Quevedo-vista-al-mar-lyrics,2022.0
0.724,0.631,4,-4.42,0,0.0686,0.249,0.0,0.213,0.957,176.076,0Iozrbed8spxoBnmtBMshO,160909,4,82,WANDA,Quevedo,8719683," O-O-Ovy On The Drums Es usted o nadie, ¿oyó? La vi perreando y todo se jodió, sí Te imagino haciendo cosa' indebida' Abra esa boquita y pida Que si él no te trata bien, mami, aquí estoy yo To' lo que él hizo, ese man le dolió Pero a mí no me importa lo que el pirobo diga Ese bobo no juega en mi liga, yeah Es usted o nadie, ¿oyó? La vi perreando y todo se jodió, sí Te imagino haciendo cosa' indebida' Abra esa boquita y pida Que si él no te trata bien, mami, aquí estoy yo To' lo que él hizo, ese man le dolió Pero a mí no me importa lo que el pirobo diga Ese bobo no juega en mi liga, yeah (¡Ay!) Carita buena, pero ere' mala Tú estas pa' mí, no pa' sus vaina' rara' Tengo ganas de verte cara a cara Él e' Maxi López, tú mi Wanda Nara Y, ma, suéltate el pelo Que esta noche es pa' perrear hasta llegar al suelo Tú no tienes que hacer mucho pa' que muerda el anzuelo Dale, yo te espero Bajo a tu casa, mami, y te paso a buscar con el Cupra Eres tú o nadie, no tiene' quién te supla Tú y yo en la cama, mami, no hay mejor dupla Te tengo un regalo aunque hoy no cumpla', yeah Mai, hablemos solos que aquí hay mucho ruido y conozco un sitio para conversar Por ti vendo mi cadena, si tú eres el único bien que quiero conservar Hablemos solos que aquí hay mucho ruido y conozco un sitio para conversar Te vi bailando en la disco y esos movimientos se salen de lo conceptual (Conceptual) Es u—, es u—, es u—, es—, es—, es usted o nadie, ¿oyó? La vi perreando y todo se jodió, sí Te imagino haciendo cosa' indebida' Abra esa boquita y pida Que si él no te trata bien, mami, aquí estoy yo To' lo que él hizo, ese man le dolió Pero a mí no me importa lo que el pirobo diga Ese bobo no juega en mi liga, yeah (¡Ay!) Perreando Es u—, es u—, es u—, es—, es— Perreando Es usted o nadie, ¿oyó? Te—, te—, te imagino haciendo cosa' indebida' (¡Ah!) To' lo que, to' lo que, to'—, to'—, to'— (¡Ay, papi!) To' lo que él hizo, ese man le dolió Pero a mí no me importa lo que el pirobo diga Ese bobo no juega en mi liga ",pop,E,https://genius.com/Quevedo-wanda-lyrics,2023.0
0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,3pXF1nA74528Edde4of9CC,198293,4,86,Don't,Bryson Tiller,579968," Don't, don't play with her, don't be dishonest (Ayy) Still not understandin' this logic (Ayy) I'm back and I'm better (And I'm better) I want you bad as ever Don't let me just let up I wanna give you better Baby, it's whatever Somebody gotta step up Girl, I'm that somebody, so I'm next up Be damned if I let him catch up It's easy to see that you're fed up I am on a whole 'nother level Girl, he only fucked you over 'cause you let him Fuck him, girl, I guess he didn't know any better Girl, that man didn't show any effort Do all I can just to show you you're special Certain it's your love that holds me together Lately you say he been killin' the vibe Gotta be sick of this guy Pull up, skrr, get in the ride Left hand is steerin' the other is grippin' your thigh Light up a spliff and get high Shawty, you deserve what you've been missin' Lookin' at you I'm thinkin' he must be trippin' Play this song for him, tell him, ""Just listen"" Don't Don't Girl, said he keeps on playin' games And his lovin' ain't the same I don't know what to say, but What a shame If you were mine you would not get the same If you were mine you would top everything Suicide in the drop switchin' lanes And that thing so fire, baby, no propane Got good pussy, girl, can I be frank? To keep it 100, girl, I ain't no saint But he the only reason that I'm feelin' this way Givin' you the world, baby, when you get space Pen game get me laid, baby, that's penetrate Oh baby Don't H-Town got a nigga so throwed Pour up, we can party some more Yeah, got this drank in my cup Got a young nigga feelin' so throwed Spit fire in a world so cold Young money got a nigga feelin' old Spit fire in a world so cold H-Town got me feelin' so throwed H-Town got me feelin' so throwed Ride paint and we sip 'til we fold H-Town got me feelin' so throwed Spit fire in a world so cold H-Town got a nigga so throwed Don't ",r-b,C,https://genius.com/Bryson-tiller-dont-lyrics,2014.0
0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,2LBqCSwhJGcFQeTHMVGwy3,260253,4,90,Die For You,The Weeknd,2911557," I'm findin' ways to articulate the feelin' I'm goin' through I just can't say I don't love you (Yeah) 'Cause I love you, yeah It's hard for me to communicate the thoughts that I hold But tonight, I'm gon' let you know Let me tell the truth Baby, let me tell the truth, yeah You know what I'm thinkin', see it in your eyes You hate that you want me, hate it when you cry You're scared to be lonely, 'specially in the night I'm scared that I'll miss you, happens every time I don't want this feelin', I can't afford love I try to find a reason to pull us apart It ain't workin' 'cause you're perfect And I know that you're worth it I can't walk away, oh Even though we're goin' through it And it makes you feel alone Just know that I would die for you Baby, I would die for you, yeah The distance and the time between us It'll never change my mind 'cause Baby, I would die for you Baby, I would die for you, yeah (Say) I'm findin' ways to manipulate the feelin' you're goin' through But, baby girl, I'm not blamin' you Just don't blame me, too, yeah 'Cause I can't take this pain forever And you won't find no one that's better 'Cause I'm right for you, babe I think I'm right for you, babe You know what I'm thinkin', see it in your eyes You hate that you want me, hate it when you cry It ain't workin' 'cause you're perfect And I know that you're worth it I can't walk away, oh Even though we're goin' through it And it makes you feel alone Just know that I would die for you Baby, I would die for you, yeah The distance and the time between us It'll never change my mind 'cause Baby, I would die for you, uh Baby, I would die for you, yeah I would die for you, I would lie for you Keep it real with you, I would kill for you, my baby I'm just sayin', yeah I would die for you, I would lie for you Keep it real with you, I would kill for you, my baby Na-na-na, na-na-na, na-na-na Even though we're goin' through it And it makes you feel alone Just know that I would die for you Baby, I would die for you, yeah The distance and the time between us It'll never change my mind 'cause Baby, I would die for you Baby, I would die for you, yeah (Oh, babe) (Die for you) ",r-b,B,https://genius.com/The-weeknd-die-for-you-lyrics,2016.0
0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,78QR3Wp35dqAhFEc2qAGjE,145543,4,86,Drip Too Hard (Lil Baby & Gunna),Lil Baby,3945870," Run that back, Turbo You can get the biggest Chanel bag in the store if you want it I gave 'em the drip, they sucked it up, I got 'em moanin' I bought a new Patek, I had the watch, so I two-toned 'em Takin' these drugs, I'm gon' be up until the mornin' That ain't your car, you just a leaser, you don't own it If I'm in the club, I got that fire when I'm performin' The backend just came in, in all hundreds Vibes galore, cute shit, they all on us I'm from Atlanta where young niggas run shit I know they hatin' on me, but I don't read comments Whenever I tell her to come, she comin' Whenever it's smoke, we ain't runnin' Drip too hard, don't stand too close You gon' fuck around and drown off this wave Doin' all these shows, I've been on the road I don't care where I go, long as I get paid Bad lil' vibe, she been on my mind Soon as I get back, she gettin' slayed Do this all the time, this ain't no surprise Every other night, another movie gettin' made Drip too hard, don't stand too close You gon' fuck around and drown off this wave Doin' all these shows, I've been on the road I don't care where I go, long as I get paid Bad lil' vibe, she been on my mind Soon as I get back, she gettin' slayed Do this all the time, this ain't no surprise Every other night, another movie gettin' made Yeah, every other night, another dollar gettin' made Every other night started with a good day I feel like a child, I got boogers in the face Diamonds dancin' in the dial like this shit is a parade I don't want your chain, Young GonWunna not a slave I had to draw the line, too many bitches gettin' saved TSA harass me, so I took a private plane These pussy niggas lackin', why I'm workin' on my aim Drip too hard (Too hard), charge it to the card (To the card) Designer to the ground, I can barely spell the names Drip too hard, caution on the floor You gon' fuck around and drown tryna ride a nigga wave Drip too hard, don't stand too close You gon' fuck around and drown off this wave Doin' all these shows, I've been on the road I don't care where I go, long as I get paid Bad lil' vibe, she been on my mind Soon as I get back, she gettin' slayed Do this all the time, this ain't no surprise Every other night, another movie gettin' made Drip too hard, don't stand too close You gon' fuck around and drown off this wave Doin' all these shows, I've been on the road I don't care where I go, long as I get paid Bad lil' vibe, she been on my mind Soon as I get back, she gettin' slayed Do this all the time, this ain't no surprise Every other night, another movie gettin' made ",rap,D,https://genius.com/Lil-baby-and-gunna-drip-too-hard-lyrics,2018.0
0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,6NFyWDv5CjfwuzoCkw47Xf,232253,4,87,Delicate,Taylor Swift,3283025," This ain't for the best My reputation's never been worse, so You must like me for me We can't make Any promises now, can we, babe? But you can make me a drink Dive bar on the East Side, where you at? Phone lights up my nightstand in the black Come here, you can meet me in the back Dark jeans and your Nikes, look at you Oh, damn, never seen that color blue Just think of the fun things we could do ('Cause I like you) This ain't for the best My reputation's never been worse, so You must like me for me (Yeah, I want you) We can't make Any promises now, can we, babe? But you can make me a drink Is it cool that I said all that? Is it chill that you're in my head? 'Cause I know that it's delicate (Delicate) Is it cool that I said all that? Is it too soon to do this yet? 'Cause I know that it's delicate Isn't it? Isn't it? Isn't it? Isn't it? Isn't it? Isn't it? Isn't it? Isn't it delicate? Third floor on the West Side, me and you Handsome, you're a mansion with a view Do the girls back home touch you like I do? Long night with your hands up in my hair Echoes of your footsteps on the stairs Stay here, honey, I don't wanna share ('Cause I like you) This ain't for the best My reputation's never been worse, so You must like me for me (Yeah, I want you) We can't make Any promises now, can we, babe? But you can make me a drink Is it cool that I said all that? Is it chill that you're in my head? 'Cause I know that it's delicate (Delicate) Is it cool that I said all that? Is it too soon to do this yet? 'Cause I know that it's delicate Isn't it? Isn't it? Isn't it? Isn't it? Isn't it? Isn't it? Isn't it? Isn't it delicate? Sometimes, I wonder, when you sleep Are you ever dreaming of me? Sometimes, when I look into your eyes I pretend you're mine all the damn time ('Cause I like you) Is it cool that I said all that? Is it chill that you're in my head? 'Cause I know that it's delicate (Delicate) (Yeah, I want you) Is it cool that I said all that? Is it too soon to do this yet? 'Cause I know that it's delicate (Delicate) ('Cause I like you) Is it cool that I said all that? (Isn't it?) Is it chill that you're in my head? (Isn't it? Isn't it?) 'Cause I know that it's delicate (Isn't it delicate?) (Yeah, I want you) Is it cool that I said all that? (Isn't it?) Is it too soon to do this yet? (Isn't it? Isn't it?) 'Cause I know that it's delicate Isn't it delicate? ",pop,C,https://genius.com/Taylor-swift-delicate-lyrics,2017.0
0.789,0.763,1,-6.169,1,0.199,0.123,2.22e-05,0.132,0.272,140.107,5JYPXqMwYc0zTODQdjMEZN,126857,4,83,Deli,Ice Spice,9313391," Grrah (Grrah, grrah, grrah) Grrah (Grrah) Grrah, she a baddie, she showin' her panty (Stop playin' with 'em, RIOT) She a baddie, she showin' her panty (She showin' her panty) She shake it like jelly (She shake it like jelly, damn, damn) Hundred bands in Chanely (Hundred bands in Chanely) But I'm still shakin' ass in a deli (But I'm still shakin' ass, grrah, grrah) With my bitch gettin' deady (With my bitch gettin' deady) He like him a wetty (He like him a wetty) He want the WAP, but I just want the fetty (Grrah, grrah) And I'm baggin' his partner, I'm petty (Grrah, grrah) Call me that bee while hе eatin' my honey (Eatin' my honey, damn) You know niggas lovе bitches with money (Bitches with money) I get a lot (I get a lot) Takin' her spot (Grrah) If you ain't cookin', then get off the pot My name Ice, but I always stay hot Passenger princess, he pass me his knock (Grrah) Baddest lil' bitch from my block Me and baddies be gettin' along So they always be singin' my song Steppin' outside, I'ma put that shit on (Like, like) Three hundred and then I perform (Damn) You know I'ma get to the bag All the hatin' bitches to the back (To the back) Too much to lose, so I cannot react (Damn) Damn, bitches be goin' out sad (Grrah) She a baddie, she showin' her panty (She showin' her panty) She shake it like jelly (She shake it like jelly, damn, damn) Hundred bands in Chanely (Hundred bands in Chanely) But I'm still shakin' ass in a deli (Grrah) With my bitch gettin' deady (With my bitch gettin' deady) He like him a wetty (He like him a wetty) He want the WAP, but I just want the fetty (Grrah) And I'm baggin' his partner, I'm petty (Grrah) Feelin' a smooch, and I'm showin' my coochie PJ to Emilio Pucci (Damn, damn) I love white bitches like shoutout to Lucy If she bad, then I let her seduce me (Damn, damn) I'm the shit, I'm that bitch, I'm Miss Poopie Juice in my cup got me feelin' real loopy (Got me feelin' real loopy) Forty-inch, middle-parted (Forty-inch, middle-parted) He got all my pics hearted (Grrah, grrah) They all like, ""Damn, Ice, your flow be the hardest"" (Like) I'm not a regular artist, grrah, grrah Go 'Ku and I'm just gettin' started Baddies on baddies, they know how to move 'Ooters on 'ooters, they know how to 'oot Bussin' that pack, goin' straight to the moon (Goin' straight to the moon) Off the juice, actin' loose She a baddie, she showin' her panty (She showin' her panty) She shake it like jelly (She shake it like jelly, damn, damn) Hundred bands in Chanely (Hundred bands in Chanely) But I'm still shakin' ass in a deli (Grrah, grrah) With my bitch gettin' deady (With my bitch gettin' deady) He like him a wetty (He like him a wetty) He want the WAP, but I just want the fetty (Damn, grrah) And I'm baggin' his partner, I'm petty (Grrah) And I'm baggin' his partner, I'm petty But I'm still shakin' ass in a deli Grrah (Grrah, grrah) ",rap,C,https://genius.com/Ice-spice-deli-lyrics,2023.0
0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,5E30LdtzQTGqRvNd7l6kG5,260173,4,88,Daddy Issues,The Neighbourhood,2290592," Take you like a drug I taste you on my tongue You ask me what I'm thinking about I tell you that I'm thinking about Whatever you're thinking about (Ah) Tell me somethin' then I'll forget And you might have to tell me again It's crazy what you do for a friend Go ahead and cry, little girl Nobody does it like you do I know how much it matters to you I know that you got daddy issues And if you were my little girl I'd do whatever I could do I'd run away and hide with you I know that you got daddy issues, and I do too I tried to write your name in the rain But the rain never came So I made with the sun The shade Always comes at the worst times (Ah) You ask me what I'm thinking about I tell you that I'm thinking about Whatever you're thinking about Tell me somethin' then I'll forget And you might have to tell me again It's crazy what you do for a friend Go ahead and cry, little girl Nobody does it like you do I know how much it matters to you I know that you got daddy issues And if you were my little girl I'd do whatever I could do I'd run away and hide with you I know that you got daddy issues I keep on tryin' to let you go I'm dyin' to let you know How I'm getting on I didn't cry when you left at first But now that you're dead it hurts This time I gotta know Where did my daddy go? I'm not entirely here Half of me has disappeared Go ahead and cry, little boy You know that your daddy did too You know what your mama went through You gotta let it out soon, just let it out Go ahead and cry, little girl Nobody does it like you do I know how much it matters to you I know that you got daddy issues And if you were my little girl I'd do whatever I could do I'd run away and hide with you I know that you got daddy issues, and I do too If you were my little girl I'd do whatever I could do I'd run away and hide with you I know that you got daddy issues, and I do too ",rock,D,https://genius.com/The-neighbourhood-daddy-issues-lyrics,2015.0
