danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres,popularity,song_name,artist_name,genius_id,release_date
0.651,0.663,0,-5.569,0,0.0281,0.228,0.0,0.0994,0.465,102.0,audio_features,4llK75pXNWZz6KAho2Gp16,spotify:track:4llK75pXNWZz6KAho2Gp16,https://api.spotify.com/v1/tracks/4llK75pXNWZz6KAho2Gp16,https://api.spotify.com/v1/audio-analysis/4llK75pXNWZz6KAho2Gp16,259453,4,['pop'],83,She Will Be Loved - Radio Mix,Maroon 5,9298707,
0.507,0.394,6,-7.188,0,0.035,0.508,0.0,0.0825,0.164,77.955,audio_features,7AbqgE05nFl9qY4FRUiq2p,spotify:track:7AbqgE05nFl9qY4FRUiq2p,https://api.spotify.com/v1/tracks/7AbqgE05nFl9qY4FRUiq2p,https://api.spotify.com/v1/audio-analysis/7AbqgE05nFl9qY4FRUiq2p,167247,4,['k-pop'],85,Shot Glass of Tears,Jung Kook,9626003,"{'year': 2023, 'month': 11, 'day': 3}"
0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,audio_features,22vgEDb5hykfaTwLuskFGD,spotify:track:22vgEDb5hykfaTwLuskFGD,https://api.spotify.com/v1/tracks/22vgEDb5hykfaTwLuskFGD,https://api.spotify.com/v1/audio-analysis/22vgEDb5hykfaTwLuskFGD,181027,4,"['boy band', 'pop']",81,Sucker,Jonas Brothers,4350998,"{'year': 2019, 'month': 3, 'day': 1}"
0.759,0.561,0,-5.643,0,0.131,0.803,0.121,0.101,0.491,104.915,audio_features,5q86iSKkBtOoNkdgEDY5WV,spotify:track:5q86iSKkBtOoNkdgEDY5WV,https://api.spotify.com/v1/tracks/5q86iSKkBtOoNkdgEDY5WV,https://api.spotify.com/v1/audio-analysis/5q86iSKkBtOoNkdgEDY5WV,180673,4,"['rap canario', 'trap latino', 'urbano latino']",82,VISTA AL MAR,Quevedo,8357473,"{'year': 2022, 'month': 9, 'day': 8}"
0.724,0.631,4,-4.42,0,0.0686,0.249,0.0,0.213,0.957,176.076,audio_features,0Iozrbed8spxoBnmtBMshO,spotify:track:0Iozrbed8spxoBnmtBMshO,https://api.spotify.com/v1/tracks/0Iozrbed8spxoBnmtBMshO,https://api.spotify.com/v1/audio-analysis/0Iozrbed8spxoBnmtBMshO,160909,4,"['rap canario', 'trap latino', 'urbano latino']",82,WANDA,Quevedo,8719683,"{'year': 2023, 'month': 1, 'day': 20}"
0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,audio_features,3pXF1nA74528Edde4of9CC,spotify:track:3pXF1nA74528Edde4of9CC,https://api.spotify.com/v1/tracks/3pXF1nA74528Edde4of9CC,https://api.spotify.com/v1/audio-analysis/3pXF1nA74528Edde4of9CC,198293,4,"['kentucky hip hop', 'r&b', 'rap']",86,Don't,Bryson Tiller,579968,"{'year': 2014, 'month': 10, 'day': 9}"
0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",88,Dreams - 2004 Remaster,Fleetwood Mac,4403651,
0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,audio_features,2LBqCSwhJGcFQeTHMVGwy3,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,https://api.spotify.com/v1/tracks/2LBqCSwhJGcFQeTHMVGwy3,https://api.spotify.com/v1/audio-analysis/2LBqCSwhJGcFQeTHMVGwy3,260253,4,"['canadian contemporary r&b', 'canadian pop', 'pop']",90,Die For You,The Weeknd,2911557,"{'year': 2016, 'month': 11, 'day': 25}"
0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,audio_features,78QR3Wp35dqAhFEc2qAGjE,spotify:track:78QR3Wp35dqAhFEc2qAGjE,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,145543,4,"['atl hip hop', 'atl trap', 'rap', 'trap']",86,Drip Too Hard (Lil Baby & Gunna),Lil Baby,3945870,"{'year': 2018, 'month': 9, 'day': 9}"
0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,audio_features,6NFyWDv5CjfwuzoCkw47Xf,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf,https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf,232253,4,['pop'],87,Delicate,Taylor Swift,3283025,"{'year': 2017, 'month': 11, 'day': 10}"
