,popularity,song_name,artist_name
0,87,Hate You,Jung Kook
1,70,No One Knows,Queens of the Stone Age
2,77,Jennifer’s Body,Ken Carson
3,76,(Everybody's Waitin' For) The Man With The Bag,Kay Starr
4,71,Cocoa Butter Kisses,Chance the Rapper
5,72,Just like Heaven,The Cure
6,78,Don't Know Why,Norah Jones
7,78,Knee Socks,Arctic Monkeys
8,74,Chill Kill,Red Velvet
9,74,Dance Now (feat. Kenny Mason),JID
10,75,Since U Been Gone,Kelly Clarkson
11,82,Cozy Little Christmas,Katy Perry
12,71,Keep It Low (feat. Future),Moneybagg Yo
13,75,Wild as Her,Corey Kent
14,73,Doves In The Wind (feat. Kendrick Lamar),SZA
15,85,CUFF IT,Beyoncé
16,73,Didn't Cha Know,Erykah Badu
17,76,Call Your Mom (with Lizzy McAlpine),Noah Kahan
18,75,Good Old Days (feat. Kesha),Macklemore
19,87,Please Don't Change (feat. DJ Snake),Jung Kook
20,75,What Ifs (feat. Lauren Alaina),Kane Brown
21,75,Karma,Taylor Swift
22,74,Kiss Kiss (feat. T-Pain),Chris Brown
23,77,Who Knew,P!nk
24,77,Get Low,Lil Jon & The East Side Boyz
25,79,Ambition For Cash,Key Glock
26,83,If I Ain't Got You,Alicia Keys
27,81,Crazy In Love (feat. Jay-Z),Beyoncé
28,74,I know it won't work,Gracie Abrams
29,68,Stronger (What Doesn't Kill You),Kelly Clarkson
30,74,Kid On Christmas (feat. Meghan Trainor),Pentatonix
31,78,Miss The Rage,Trippie Redd
32,79,ZEZE (feat. Travis Scott & Offset),Kodak Black
33,69,"Bitch, Don’t Kill My Vibe",Kendrick Lamar
34,74,Nevada,YoungBoy Never Broke Again
35,74,LOOOVE (feat. Kid Cudi),Travis Scott
36,80,Beautiful Girls,Sean Kingston
37,72,Adorn,Miguel
38,75,Paul Revere,Noah Kahan
39,79,Stay Ready (What A Life),Jhené Aiko
40,85,Somebody,Jung Kook
41,77,Kaikai Kitan,Eve
42,86,Closer to You (feat. Major Lazer),Jung Kook
43,78,Through The Wire,Kanye West
44,75,If I Killed Someone For You,Alec Benjamin
45,79,BOP,DaBaby
46,74,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé
47,80,Die Young,Kesha
48,75,Faneto,Chief Keef
49,73,Mixed Personalities (feat. Kanye West),YNW Melly
50,79,Santa Baby (with Henri René & His Orchestra),Eartha Kitt
51,80,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar
52,77,Kiss,Prince
53,79,Good Life,Kanye West
54,85,PROVENZA,KAROL G
55,82,Unholy (feat. Kim Petras),Sam Smith
56,79,Paper Planes,M.I.A.
57,72,Kill Yourself (Part IV),$uicideboy$
58,79,I Don't Like,Chief Keef
59,78,Psycho Killer - 2005 Remaster,Talking Heads
60,70,Major (feat. Key Glock),Young Dolph
61,75,Dancing in the Moonlight,King Harvest
62,72,Me N My Kup,Ken Carson
63,86,Way down We Go,KALEO
64,79,Dead To Me,Kali Uchis
65,75,Oh Klahoma,Jack Stauber
66,79,Freak On a Leash,Korn
67,71,A Life Where We Work Out (feat. Kaitlin Butts),Flatland Cavalry
68,78,Wine Pon You (feat. Konshens),Doja Cat
69,68,Kerosene,Crystal Castles
70,84,After Dark,Mr.Kitty
71,85,Coco Chanel,Eladio Carrion
72,84,I Want to Know What Love Is - 1999 Remaster,Foreigner
73,80,Still Don't Know My Name,Labrinth
74,76,Keep on Loving You,REO Speedwagon
75,74,Dark Knight Dummo (feat. Travis Scott),Trippie Redd
76,76,Die Trying,Key Glock
77,76,Last Kiss (Taylor's Version),Taylor Swift
78,71,I Saw Mommy Kissing Santa Claus,The Jackson 5
79,75,I Know The End,Phoebe Bridgers
80,79,Location,Khalid
81,73,Kyoto,Phoebe Bridgers
82,81,Love Songs - Bonus,Kaash Paige
83,76,Thank God,Kane Brown
84,73,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock
85,76,M.... She Wrote,Tay-K
86,75,Killshot,Eminem
87,81,N95,Kendrick Lamar
88,77,Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths
89,84,Running Up That Hill (A Deal With God),Kate Bush
90,77,sins (let me in),Kanii
91,76,Orange Juice,Noah Kahan
92,74,Nicki Hendrix (feat. Future),Nicki Minaj
93,82,Big Poppa - 2005 Remaster,The Notorious B.I.G.
94,77,Sweet Nothing,Taylor Swift
95,75,Mr. Right Now (feat. Drake),21 Savage
96,77,Welcome To New York (Taylor's Version),Taylor Swift
